accepted_name,taxon_name,reported_names,genus,family,subfamily,taxon_rank,accepted_name_authorship,taxon_id,accepted_taxon_id,taxa_taxon_list_id,occurrence_count,location_count,location_ids,location_names,cd_nom,cd_ref,taxref_scientific_name,taxref_accepted_name,taxref_rank,taxref_family,taxref_order,taxref_status,taxref_vernacular_fr,taxref_match_type,taxref_match_note,inpn_url
Acronicta cuspis / tridens / psi,Acronicta cuspis / tridens / psi,Acronicta cuspis / tridens / psi,,,,Species aggregate,,,,572055,3,3,396712 | 396800 | 397629,Piège 2 - aulnaie - marais de Saône | Bure - Oeuf | Maire 1,,,,,,,,,,non_applicable,agregat / complexe d'especes,
Amphipyra berbera/pyramidea,Amphipyra berbera/pyramidea,Amphipyra berbera/pyramidea,,,,Species aggregate,,,,572196,1,1,396585,Montmain 2,,,,,,,,,,non_applicable,agregat / complexe d'especes,
Aplocera efformata/plagiata,Aplocera efformata/plagiata,Aplocera efformata/plagiata,,,,Species aggregate,,,,572218,2,2,395441 | 395764,côte de Mancy (Lons-le-Saunier) | Voutenay_Thalsansoeufs02,,,,,,,,,,non_applicable,agregat / complexe d'especes,
Aplocera spec.,Aplocera spec.,Aplocera spec.,,,,Genus,,,,572077,4,4,395441 | 396800 | 397620 | 399055,côte de Mancy (Lons-le-Saunier) | Bure - Oeuf | Mesves_IDB1 | Sous_col_mantet,210452,210452,"Aplocera Stephens, 1827","Aplocera Stephens, 1827",genus,Geometridae,Lepidoptera,Accepted,,Exact,match sur le nom epure 'Aplocera',https://inpn.mnhn.fr/espece/cd_nom/210452
Coleophora spec.,Coleophora spec.,Coleophora spec.,,,,Genus,,,,572092,1,1,399051,Solanetta_rnn_mantet,210264,210264,"Coleophora Hübner, 1822","Coleophora Hübner, 1822",genus,Coleophoridae,Lepidoptera,Accepted,,Exact,match sur le nom epure 'Coleophora',https://inpn.mnhn.fr/espece/cd_nom/210264
Crambidae indet.,Crambidae indet.,Crambidae indet.,,,,Family,,,,572094,2,2,395764 | 397624,Voutenay_Thalsansoeufs02 | Mesves_IDB2,200681,200681,"Crambidae Latreille, 1810","Crambidae Latreille, 1810",family,Crambidae,Lepidoptera,Accepted,,Exact,match sur le nom epure 'Crambidae',https://inpn.mnhn.fr/espece/cd_nom/200681
Dioryctria spec.,Dioryctria spec.,Dioryctria spec.,,,,Genus,,,,572099,1,1,399051,Solanetta_rnn_mantet,211315,211315,"Dioryctria Zeller, 1846","Dioryctria Zeller, 1846",genus,Pyralidae,Lepidoptera,Accepted,,Exact,match sur le nom epure 'Dioryctria',https://inpn.mnhn.fr/espece/cd_nom/211315
Epirrita spec.,Epirrita spec.,Epirrita spec.,,,,Genus,,,,572110,1,1,395764,Voutenay_Thalsansoeufs02,210689,210689,"Epirrita Hübner, 1822","Epirrita Hübner, 1822",genus,Geometridae,Lepidoptera,Accepted,,Exact,match sur le nom epure 'Epirrita',https://inpn.mnhn.fr/espece/cd_nom/210689
Eupithecia spec.,Eupithecia spec.,Eupithecia spec.,,,,Genus,,,,572116,1,1,397630,Maire 2,210673,210673,"Eupithecia Curtis, 1825","Eupithecia Curtis, 1825",genus,Geometridae,Lepidoptera,Accepted,,Exact,match sur le nom epure 'Eupithecia',https://inpn.mnhn.fr/espece/cd_nom/210673
Gelechiidae indet.,Gelechiidae indet.,Gelechiidae indet.,,,,Family,,,,572117,1,1,395764,Voutenay_Thalsansoeufs02,185251,185251,"Gelechiidae Stainton, 1854","Gelechiidae Stainton, 1854",family,Gelechiidae,Lepidoptera,Accepted,,Exact,match sur le nom epure 'Gelechiidae',https://inpn.mnhn.fr/espece/cd_nom/185251
Geometridae indet.,Geometridae indet.,Geometridae indet.,,,,Family,,,,572118,1,1,395812,La Truchère_dunes_boite_oeuf,185259,185259,"Geometridae Leach, 1815","Geometridae Leach, 1815",family,Geometridae,Lepidoptera,Accepted,,Exact,match sur le nom epure 'Geometridae',https://inpn.mnhn.fr/espece/cd_nom/185259
Heterocera indet.,Heterocera indet.,Heterocera indet.,,,,Suborder,,,,572040,10,9,395441 | 395764 | 395813 | 395878 | 396714 | 396795 | 397620 | 397624 | 399051,côte de Mancy (Lons-le-Saunier) | Voutenay_Thalsansoeufs02 | La Truchère_tourbière | Piège 1 - boisement feuillus jeunes - Sauvagney | Piège 1 - boisement feuillus jeunes - Sauvagney | Bure - sans-oeuf | Mesves_IDB1 | Mesves_IDB2 | Solanetta_rnn_mantet,,,,,,,,,,non_applicable,groupe informel sans cd_nom TAXREF,
Hoplodrina ambigua/blanda/octogenaria,Hoplodrina ambigua/blanda/octogenaria,Hoplodrina ambigua/blanda/octogenaria,,,,Species aggregate,,,,572230,1,1,395885,Comolle 1,,,,,,,,,,non_applicable,agregat / complexe d'especes,
Hoplodrina sp.,Hoplodrina sp.,Hoplodrina sp.,,,,Genus,,,,572121,1,1,396712,Piège 2 - aulnaie - marais de Saône,210971,210971,"Hoplodrina Boursin, 1937","Hoplodrina Boursin, 1937",genus,Noctuidae,Lepidoptera,Accepted,,Exact,match sur le nom epure 'Hoplodrina',https://inpn.mnhn.fr/espece/cd_nom/210971
Mesapamea secalella/secalis,Mesapamea secalella/secalis,Mesapamea secalella/secalis,,,,Species aggregate,,,,572182,5,5,395447 | 395885 | 396584 | 396585 | 397630,Sur Mancy (Macornay) | Comolle 1 | Montmain 1 | Montmain 2 | Maire 2,,,,,,,,,,non_applicable,agregat / complexe d'especes,
